CallbackDate,UnitNo,MainComponentName,vT1,T2,vT3
2024-04-06 01:32:00,U0001,Controller,10,10,5
2024-05-13 04:58:00,U0001,Controller,5,30,20
2024-09-08 00:06:00,U0001,Other,0,15,30
2024-10-07 07:05:00,U0001,Controller,5,5,10
2024-01-14 16:07:00,U0001,Door,10,20,0
2024-11-19 07:38:00,U0002,Door,20,30,0
2024-04-03 03:02:00,U0002,Controller,5,20,30
2024-05-11 14:37:00,U0003,Drive,5,0,10
2024-07-26 02:50:00,U0003,Door,5,5,30
2024-09-22 11:49:00,U0003,Drive,5,5,5
2024-11-11 02:00:00,U0004,Alarm,15,0,15
2024-09-25 02:48:00,U0004,Drive,20,30,0
2024-04-28 11:50:00,U0004,Controller,15,0,30
2024-10-06 15:43:00,U0005,Alarm,30,15,5
2024-05-27 09:57:00,U0005,Controller,0,30,15
2024-11-19 12:52:00,U0005,Drive,30,20,10
2024-12-19 20:07:00,U0005,Controller,0,10,5
2024-04-19 07:56:00,U0006,Controller,15,20,30
2024-12-02 12:50:00,U0006,Door,30,30,10
2024-07-13 07:41:00,U0006,Other,30,10,30
2024-07-26 09:31:00,U0007,Drive,20,0,0
2024-08-14 09:29:00,U0007,Door,5,10,20
2024-04-03 14:39:00,U0007,Door,0,10,10
2024-02-09 14:26:00,U0007,Drive,30,20,5
2024-02-07 01:24:00,U0007,Controller,5,15,10
2024-06-05 07:22:00,U0007,Door,20,15,10
2024-06-17 19:12:00,U0008,Alarm,5,15,20
2024-01-01 03:15:00,U0008,Other,15,20,30
2024-05-24 03:35:00,U0008,Door,30,20,30
2024-07-05 08:42:00,U0008,Other,15,0,20
2024-10-11 09:23:00,U0008,Door,10,30,30
2024-09-26 20:31:00,U0009,Controller,15,10,30
2024-01-02 21:07:00,U0009,Other,20,15,15
2024-05-25 04:46:00,U0009,Controller,20,30,15
2024-01-11 00:59:00,U0009,Controller,10,5,5
2024-10-19 12:11:00,U0009,Controller,30,20,30
2024-11-25 17:01:00,U0010,Door,15,20,15
2024-11-03 21:40:00,U0010,Alarm,15,15,30
2024-06-23 10:10:00,U0010,Other,20,15,0
2024-09-12 06:33:00,U0010,Other,0,5,10
2024-03-22 01:37:00,U0011,Door,10,15,10
2024-12-06 15:12:00,U0011,Door,20,10,15
2024-07-04 11:25:00,U0011,Controller,10,15,15
2024-05-04 19:28:00,U0011,Door,20,15,30
2024-03-25 01:09:00,U0011,Other,10,20,15
2024-11-18 13:48:00,U0011,Alarm,0,10,15
